collected_at,area,yuan_to_wan_gold,wan_gold_to_yuan,price_yuan,stock
2026-09-03T05:30:01Z,小白兔,4.3478,0.23,46,1
2026-09-03T05:30:01Z,漂漂猪,4.2553,0.235,9.4,1
2026-09-03T05:30:01Z,绿水灵,4.6729,0.214,107,1
2026-09-03T05:30:01Z,蘑菇仔,4.6083,0.217,21.7,2
2026-09-03T05:30:01Z,蓝蜗牛,4.5872,0.218,109,1
2026-09-03T10:00:01Z,小白兔,4.4444,0.225,45,1
2026-09-03T10:00:01Z,漂漂猪,4.3846,0.2281,13,1
2026-09-03T10:00:01Z,绿水灵,4.6948,0.213,21.3,2
2026-09-03T10:00:01Z,蘑菇仔,4.6053,0.2171,53.2,1
2026-09-03T10:00:01Z,蓝蜗牛,4.5673,0.2189,12.48,1
2026-09-03T14:30:02Z,小白兔,4.4444,0.225,90,4
2026-09-03T14:30:02Z,漂漂猪,4.45,0.2247,100,1
2026-09-03T14:30:02Z,绿水灵,4.717,0.212,21.2,1
2026-09-03T14:30:02Z,蘑菇仔,4.7059,0.2125,63.75,1
2026-09-03T14:30:02Z,蓝蜗牛,4.697,0.2129,21.29,1
2026-09-03T17:30:01Z,小白兔,4.4453,0.225,258.7,1
2026-09-03T17:30:01Z,漂漂猪,4.6154,0.2167,52,1
2026-09-03T17:30:01Z,绿水灵,4.7619,0.21,63,1
2026-09-03T17:30:01Z,蘑菇仔,4.5683,0.2189,218.9,1
2026-09-03T17:30:01Z,蓝蜗牛,4.6154,0.2167,130,1
2026-09-03T20:30:01Z,小白兔,4.4803,0.2232,279,1
2026-09-03T20:30:01Z,漂漂猪,4.4643,0.224,112,1
2026-09-03T20:30:01Z,绿水灵,4.6296,0.216,108,1
2026-09-03T20:30:01Z,蘑菇仔,4.7619,0.21,21,1
2026-09-03T20:30:01Z,蓝蜗牛,4.5558,0.2195,219.5,1
2026-09-03T22:30:01Z,小白兔,4.5662,0.219,219,1
2026-09-03T22:30:01Z,漂漂猪,4.4494,0.2248,89.9,2
2026-09-03T22:30:01Z,绿水灵,4.6512,0.215,43,1
2026-09-03T22:30:01Z,蘑菇仔,4.6,0.2174,200,1
2026-09-03T22:30:01Z,蓝蜗牛,4.5455,0.22,11,5
2026-09-04T00:00:01Z,小白兔,4.5608,0.2193,296,1
2026-09-04T00:00:01Z,漂漂猪,4.4494,0.2248,89.9,1
2026-09-04T00:00:01Z,绿水灵,4.64,0.2155,100,1
2026-09-04T00:00:01Z,蘑菇仔,4.8276,0.2071,145,1
2026-09-04T00:00:01Z,蓝蜗牛,4.5455,0.22,44,1
2026-09-04T05:00:02Z,小白兔,4.8387,0.2067,62,1
2026-09-04T05:00:02Z,漂漂猪,4.5496,0.2198,109.9,1
2026-09-04T05:00:02Z,绿水灵,4.7664,0.2098,104.9,1
2026-09-04T05:00:02Z,蘑菇仔,5.0625,0.1975,16,1
2026-09-04T05:00:02Z,蓝蜗牛,4.5662,0.219,21.9,1
2026-09-04T09:30:01Z,小白兔,4.7619,0.21,105,1
2026-09-04T09:30:01Z,漂漂猪,4.6875,0.2133,64,1
2026-09-04T09:30:01Z,绿水灵,4.7619,0.21,105,1
2026-09-04T09:30:01Z,蘑菇仔,4.918,0.2033,61,1
2026-09-04T09:30:01Z,蓝蜗牛,4.7619,0.21,21,2
2026-09-04T13:30:02Z,小白兔,5.05,0.198,40,1
2026-09-04T13:30:02Z,漂漂猪,4.8485,0.2062,33,1
2026-09-04T13:30:02Z,绿水灵,5,0.2,100,1
2026-09-04T13:30:02Z,蘑菇仔,5.0093,0.1996,53.9,1
2026-09-04T13:30:02Z,蓝蜗牛,4.878,0.205,205,1
2026-09-04T17:00:01Z,小白兔,5.0036,0.1999,139.9,1
2026-09-04T17:00:01Z,漂漂猪,5,0.2,80,2
2026-09-04T17:00:01Z,绿水灵,5,0.2,80,2
2026-09-04T17:00:01Z,蘑菇仔,5.0817,0.1968,55.1,1
2026-09-04T17:00:01Z,蓝蜗牛,4.89,0.2045,81.8,1
